Year,Sport,Category,States_Reporting_Boys,States_Reporting_Girls,Boys_Schools,Boys_Participants,Girls_Schools,Girls_Participants,Combined_Participants
2023-24,Air Riflery,,3,3,69,686,65,520,1206
2023-24,Archery,,5,5,429,6049,383,6407,12456
2023-24,Badminton,,4,7,268,5260,551,13896,19156
2023-24,Baseball,,49,29,16146,471701,1424,1372,473073
2023-24,Basketball,,51,51,18587,536668,18090,367284,903952
2023-24,Bass Fishing,,8,7,720,6343,173,308,6651
2023-24,Bocce – Outdoor,,1,1,4,28,4,23,51
2023-24,Bowling,,26,32,3286,33839,3163,27246,61085
2023-24,Canoe Paddling,,1,1,61,1201,63,1153,2354
2023-24,Competitive Spirit,,28,32,1074,5128,7827,181023,186151
2023-24,Crew/Rowing,,5,5,43,862,112,1042,1904
2023-24,Cross Country,,51,51,15511,239381,15228,192969,432350
2023-24,Cycling,,2,2,2,5,2,7,12
2023-24,Dance,,11,13,151,767,1529,21850,22617
2023-24,Dance Team High Kick,,2,3,6,31,267,4569,4600
2023-24,Dance Team Jazz,,5,5,13,205,435,6090,6295
2023-24,Dance/Drill,,3,5,84,104,219,3313,3417
2023-24,Decathlon,,5,4,111,351,39,227,578
2023-24,Drill Team,,4,5,93,1163,290,5672,6835
2023-24,Equestrian,,2,3,37,64,160,712,776
2023-24,Esports,,22,21,2075,23041,1374,4010,27051
2023-24,Fencing,,4,4,116,2092,114,1758,3850
2023-24,Field Hockey,,5,19,3,168,1766,51728,51896
2023-24,Figure Skating,,1,1,7,8,64,301,309
2023-24,Flag Football,,5,15,51,999,1777,42955,43954
2023-24,Football – 11-Player,,51,40,13788,1031508,2019,4094,1035602
2023-24,Football – 6-Player,,9,4,374,6806,57,15,6821
2023-24,Football – 8-Player,,22,16,1143,26297,163,123,26420
2023-24,Football – 9-Player,,7,3,289,5845,11,63,5908
2023-24,Golf,,50,49,14055,155174,11089,82836,238010
2023-24,Gymnastics,,7,26,63,104,1689,15092,15196
2023-24,Heptathlon,,1,2,8,21,67,162,183
2023-24,Ice Hockey,,18,17,1641,32996,785,9023,42019
2023-24,Judo,,2,2,46,727,43,544,1271
2023-24,Kayaking,,2,2,3,5,2,10,15
2023-24,Lacrosse,,27,28,3278,115001,3206,101204,216205
2023-24,Martial Arts,,3,3,5,95,3,53,148
2023-24,Mixed 6–Coed Volleyball,,1,1,36,148,36,134,282
2023-24,Mt. Biking,,5,5,62,890,54,398,1288
2023-24,Native Youth Olympics,,2,2,113,398,113,364,762
2023-24,Other Sports,,,37,437,28,328,765,
2023-24,Riflery,,9,9,236,1538,148,817,2355
2023-24,Rock Climbing,,1,1,3,57,3,50,107
2023-24,Rodeo,,2,2,17,64,14,55,119
2023-24,Roller Hockey,,1,1,12,119,9,55,174
2023-24,Rugby,,4,3,77,1938,35,548,2486
2023-24,Sailing,,3,3,47,336,40,305,641
2023-24,Skiing – Alpine,,11,11,626,5277,634,4718,9995
2023-24,Skiing – Cross Country,,11,11,328,3498,319,3484,6982
2023-24,Snowboarding,,4,4,49,534,45,328,862
2023-24,Soccer,,51,51,12754,467483,12307,383895,851378
2023-24,Soft Tennis,,1,1,14,155,14,140,295
2023-24,Softball – Fast Pitch,,5,51,10,156,15635,345451,345607
2023-24,Softball – Slow Pitch,,2,5,2,20,380,6107,6127
2023-24,Squash,,3,3,5,23,4,37,60
2023-24,Surfing,,2,2,67,1086,54,502,1588
2023-24,Swimming & Diving,,48,48,7855,116799,8133,138174,254973
2023-24,Synchronized Swimming,,1,3,2,41,35,442,483
2023-24,Tennis,,51,51,10175,157835,10645,195766,353601
2023-24,Track and Field – Indoor,,20,20,3324,82248,3304,69466,151714
2023-24,Track and Field – Outdoor,,51,51,17274,625333,17267,506015,1131348
2023-24,Trap Shooting,,3,3,505,9093,484,2320,11413
2023-24,Ultimate Frisbee,,5,5,104,655,37,353,1008
2023-24,Unified Basketball,,13,12,997,12027,869,8105,20132
2023-24,Unified Bass Fishing,,1,1,5,10,1,7,17
2023-24,Unified Bocce,,2,2,59,424,55,427,851
2023-24,Unified Bowling,,11,11,521,4638,500,3694,8332
2023-24,Unified Cheer,,3,3,8,23,20,195,218
2023-24,Unified Cross Country,,2,2,2,3,2,2,5
2023-24,Unified Cycling,,1,1,3,21,3,14,35
2023-24,Unified Flag Football,,5,5,70,886,56,1560,2446
2023-24,Unified Golf,,2,1,3,20,2,2,22
2023-24,Unified Soccer,,5,5,164,2157,160,1827,3984
2023-24,Unified Softball,,1,1,2,22,2,20,42
2023-24,Unified Strength Training,,1,1,2,88,3,45,133
2023-24,Unified Tennis,,2,2,2,17,2,12,29
2023-24,Unified Track and Field – Outdoor,,19,19,728,7411,680,6915,14326
2023-24,Unified Volleyball,,6,6,52,452,48,478,930
2023-24,Volleyball,,29,51,3805,85255,16849,479125,564380
2023-24,Volleyball – Beach,,1,3,39,987,582,10598,11585
2023-24,Water Polo,,9,8,1004,22100,1012,18987,41087
2023-24,Weightlifting,,10,9,1057,18862,967,14001,32863
2023-24,Wrestling,,51,50,11149,291874,7138,64257,356131
2023-24,Basketball,Adapted Sports,16,14,59,465,52,335,800
2023-24,Bocce – Indoor,Adapted Sports,16,14,94,710,90,641,1351
2023-24,Bowling,Adapted Sports,16,14,236,979,245,754,1733
2023-24,Corn Toss,Adapted Sports,16,14,19,120,18,99,219
2023-24,Cross Country,Adapted Sports,16,14,1,1,1,1,2
2023-24,Floor Hockey,Adapted Sports,16,14,106,335,106,153,488
2023-24,Football,Adapted Sports,16,14,8,47,7,22,69
2023-24,Golf,Adapted Sports,16,14,8,28,3,11,39
2023-24,Handball,Adapted Sports,16,14,6,35,6,13,48
2023-24,Soccer,Adapted Sports,16,14,139,513,140,279,792
2023-24,Softball,Adapted Sports,16,14,143,573,142,353,926
2023-24,Strength Training,Adapted Sports,16,14,11,145,11,95,240
2023-24,Swimming,Adapted Sports,16,14,12,42,14,39,81
2023-24,Tennis,Adapted Sports,16,14,51,319,49,365,684
2023-24,Track and Field,Adapted Sports,16,14,91,249,53,131,380
2023-24,Volleyball,Adapted Sports,16,14,4,63,3,49,112